STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,TEMP,MAX,MIN,CELSIUS
RPM00098646,"MACTAN CEBU INTERNATIONAL, RP",10.31,123.98,9.40,2018-01-25,81.32,86.72,75.20,27.40
RPM00098646,"MACTAN CEBU INTERNATIONAL, RP",10.31,123.98,9.40,2018-01-27,81.86,88.70,76.28,27.70
RPM00098646,"MACTAN CEBU INTERNATIONAL, RP",10.31,123.98,9.40,2018-01-28,78.26,82.04,75.20,25.70
RPM00098646,"MACTAN CEBU INTERNATIONAL, RP",10.31,123.98,9.40,2018-01-29,81.14,87.44,75.20,27.30
RPM00098646,"MACTAN CEBU INTERNATIONAL, RP",10.31,123.98,9.40,2018-01-30,80.96,88.52,75.02,27.20
RPM00098646,"MACTAN CEBU INTERNATIONAL, RP",10.31,123.98,9.40,2018-01-31,81.14,86.90,75.20,27.30
RPM00098646,"MACTAN CEBU INTERNATIONAL, RP",10.31,123.98,9.40,2018-02-01,82.58,88.88,75.56,28.10
RPM00098646,"MACTAN CEBU INTERNATIONAL, RP",10.31,123.98,9.40,2018-02-03,78.80,84.92,74.48,26.00
RPM00098646,"MACTAN CEBU INTERNATIONAL, RP",10.31,123.98,9.40,2018-02-04,81.68,86.90,74.84,27.60
RPM00098646,"MACTAN CEBU INTERNATIONAL, RP",10.31,123.98,9.40,2018-02-05,82.04,86.72,77.00,27.80
RPM00098646,"MACTAN CEBU INTERNATIONAL, RP",10.31,123.98,9.40,2018-02-09,79.88,87.80,71.96,26.60
RPM00098646,"MACTAN CEBU INTERNATIONAL, RP",10.31,123.98,9.40,2018-02-10,79.88,87.08,72.68,26.60
RPM00098646,"MACTAN CEBU INTERNATIONAL, RP",10.31,123.98,9.40,2018-02-11,82.76,89.42,72.86,28.20
RPM00098646,"MACTAN CEBU INTERNATIONAL, RP",10.31,123.98,9.40,2018-02-14,80.24,83.12,75.92,26.80
RPM00098646,"MACTAN CEBU INTERNATIONAL, RP",10.31,123.98,9.40,2018-02-18,81.14,87.08,73.40,27.30
RPM00098646,"MACTAN CEBU INTERNATIONAL, RP",10.31,123.98,9.40,2018-02-19,81.32,87.80,75.38,27.40
RPM00098646,"MACTAN CEBU INTERNATIONAL, RP",10.31,123.98,9.40,2018-02-20,82.04,87.98,75.92,27.80
RPM00098646,"MACTAN CEBU INTERNATIONAL, RP",10.31,123.98,9.40,2018-02-22,82.04,87.80,75.38,27.80
RPM00098646,"MACTAN CEBU INTERNATIONAL, RP",10.31,123.98,9.40,2018-02-23,83.48,89.60,78.44,28.60
RPM00098646,"MACTAN CEBU INTERNATIONAL, RP",10.31,123.98,9.40,2018-02-26,81.86,88.34,75.92,27.70
RPM00098646,"MACTAN CEBU INTERNATIONAL, RP",10.31,123.98,9.40,2018-02-27,81.50,87.98,75.92,27.50
RPM00098646,"MACTAN CEBU INTERNATIONAL, RP",10.31,123.98,9.40,2018-03-02,82.40,88.88,76.28,28.00
RPM00098646,"MACTAN CEBU INTERNATIONAL, RP",10.31,123.98,9.40,2018-03-03,83.12,89.96,76.64,28.40
RPM00098646,"MACTAN CEBU INTERNATIONAL, RP",10.31,123.98,9.40,2018-03-05,82.76,89.60,75.92,28.20
